ts_bucket,src,ok,n_stations,feed_last_updated,fetch_ms,note
1787764500,mac,1,195,1787764710,520,
1787764500,gha,1,195,1787764710,296,
1787765100,mac,1,195,1787765309,314,
1787765400,mac,1,195,1787765623,433,
1787765700,mac,1,195,1787765924,379,
1787766000,mac,1,195,1787766223,624,
1787766300,mac,1,195,1787766523,296,
1787766600,mac,1,195,1787766823,333,
1787766900,mac,1,195,1787767123,358,
1787767200,mac,1,195,1787767423,407,
1787767500,mac,1,195,1787767723,429,
1787767800,mac,1,195,1787768023,331,
1787768100,mac,1,195,1787768323,454,
1787768400,mac,1,195,1787768623,372,
1787768700,mac,1,195,1787768923,362,
1787769000,mac,1,195,1787769223,349,
1787769300,mac,1,195,1787769523,350,
1787769600,mac,1,195,1787769823,354,
1787769900,mac,1,195,1787770123,354,
1787770200,mac,1,195,1787770423,364,
1787770500,mac,1,195,1787770724,345,
1787770800,mac,1,195,1787771023,367,
1787771100,mac,1,195,1787771323,361,
1787771400,mac,1,195,1787771623,416,
1787771700,mac,1,195,1787771923,346,
1787772000,mac,1,195,1787772223,392,
1787772300,mac,1,195,1787772523,379,
1787772600,mac,1,195,1787772823,344,
1787772900,mac,1,195,1787773123,445,
1787773200,mac,1,195,1787773423,338,
1787773500,mac,1,195,1787773724,337,
1787773800,mac,1,195,1787774023,348,
1787774100,mac,1,195,1787774323,335,
1787774400,mac,1,195,1787774624,359,
1787774700,mac,1,195,1787774923,359,
1787775000,mac,1,195,1787775223,336,
1787775300,mac,1,195,1787775523,342,
1787775600,mac,1,195,1787775823,358,
1787775900,mac,1,195,1787776123,367,
1787776200,mac,1,195,1787776423,341,
1787776500,mac,1,195,1787776723,352,
1787776800,mac,1,195,1787777024,342,
1787777100,mac,1,195,1787777323,365,
1787777400,mac,1,195,1787777624,330,
1787777700,mac,1,195,1787777923,337,
1787778000,mac,1,195,1787778224,336,
1787778300,mac,1,195,1787778523,326,
1787778600,mac,1,195,1787778823,349,
1787778900,mac,1,195,1787779123,382,
1787779500,mac,1,195,1787779423,353,
1787779800,mac,1,195,1787779723,340,
1787780100,mac,1,195,1787780023,417,
1787780400,mac,1,195,1787780323,348,
1787780700,mac,1,195,1787780623,366,
1787781000,mac,1,195,1787780983,496,
1787781300,mac,1,195,1787781283,339,
1787781600,mac,1,195,1787781583,336,
1787781900,mac,1,195,1787781883,359,
1787782200,mac,1,195,1787782183,403,
1787782500,mac,1,195,1787782483,409,
1787782800,mac,1,195,1787782783,356,
1787783100,mac,1,195,1787783083,334,
1787783400,mac,1,195,1787783383,370,
1787783700,mac,1,195,1787783683,360,
1787784000,mac,1,195,1787783983,348,
1787784300,mac,1,195,1787784283,349,
1787784600,mac,1,195,1787784583,351,
1787784900,mac,1,195,1787784883,374,
1787785200,mac,1,195,1787785183,330,
1787785500,mac,1,195,1787785483,389,
1787785800,mac,1,195,1787785783,348,
1787786100,mac,1,195,1787786083,349,
1787786400,mac,1,195,1787786383,366,
1787786700,mac,1,195,1787786683,357,
1787787000,mac,1,195,1787786983,353,
1787787300,mac,1,195,1787787283,352,
1787787600,mac,1,195,1787787583,333,
1787787900,mac,1,195,1787787883,347,
1787788200,mac,1,195,1787788183,341,
1787788500,mac,1,195,1787788483,333,
1787788800,mac,1,195,1787788783,582,
1787789100,mac,1,195,1787789083,331,
1787789400,mac,1,195,1787789383,335,
1787789700,mac,1,195,1787789684,346,
1787790000,mac,1,195,1787789983,358,
1787790300,mac,1,195,1787790283,349,
1787790600,mac,1,195,1787790583,345,
1787790900,mac,1,195,1787790883,379,
1787791200,mac,1,195,1787791183,353,
1787791500,mac,1,195,1787791483,357,
1787791800,mac,1,195,1787791784,366,
1787792100,mac,1,195,1787792083,354,
1787792400,mac,1,195,1787792383,355,
1787792700,mac,1,195,1787792683,355,
1787793000,mac,1,195,1787792983,336,
1787793300,mac,1,195,1787793283,350,
1787793600,mac,1,195,1787793583,329,
1787793900,mac,1,195,1787793884,344,
1787794200,mac,1,195,1787794183,351,
1787794500,mac,1,195,1787794483,348,
1787794800,mac,1,195,1787794783,357,
1787795100,mac,1,195,1787795083,355,
1787795400,mac,1,195,1787795383,347,
1787795700,mac,1,195,1787795683,373,
1787796000,mac,1,195,1787795983,357,
1787796300,mac,1,195,1787796283,352,
1787796600,mac,1,195,1787796583,392,
1787796900,mac,1,195,1787796883,405,
1787797200,mac,1,195,1787797183,326,
1787797500,mac,1,195,1787797483,354,
1787797800,mac,1,195,1787797784,378,
1787798100,mac,1,195,1787798084,367,
1787798400,mac,1,195,1787798383,346,
1787798700,mac,1,195,1787798683,332,
1787799000,mac,1,195,1787798983,362,
1787799300,mac,1,195,1787799283,349,
1787799600,mac,1,195,1787799583,339,
1787799900,mac,1,195,1787799883,346,
1787800200,mac,1,195,1787800183,371,
1787800500,mac,1,195,1787800483,379,
1787800800,mac,1,195,1787800783,332,
1787801100,mac,1,195,1787801083,357,
1787801400,mac,1,195,1787801384,343,
1787801700,mac,1,195,1787801683,364,
1787802000,mac,1,195,1787801983,347,
1787802300,mac,1,195,1787802283,336,
1787802600,mac,1,195,1787802584,386,
1787802900,mac,1,195,1787802883,357,
1787803200,mac,1,195,1787803183,345,
1787803500,mac,1,195,1787803483,371,
1787803800,mac,1,195,1787803783,346,
1787804100,mac,1,195,1787804084,326,
1787804400,mac,1,195,1787804383,443,
1787804700,mac,1,195,1787804683,357,
1787805000,mac,1,195,1787804984,357,
1787805300,mac,1,195,1787805283,343,
1787805600,mac,1,195,1787805584,347,
1787805900,mac,1,195,1787805883,329,
1787806200,mac,1,195,1787806183,358,
1787806500,mac,1,195,1787806483,392,
1787806800,mac,1,195,1787806784,363,
1787807100,mac,1,195,1787807083,362,
1787807400,mac,1,195,1787807384,350,
1787807700,mac,1,195,1787807683,394,
1787808000,mac,1,195,1787807984,341,
1787808300,mac,1,195,1787808283,320,
1787808600,mac,1,195,1787808605,367,
1787808900,mac,1,195,1787808883,350,
1787809200,mac,1,195,1787809184,335,
1787809500,mac,1,195,1787809484,366,
1787809800,mac,1,195,1787809784,340,
1787810100,mac,1,195,1787810083,342,
1787810400,mac,1,195,1787810383,347,
1787810700,mac,1,195,1787810684,333,
1787811000,mac,1,195,1787810983,424,
1787811300,mac,1,195,1787811283,367,
1787811600,mac,1,195,1787811644,348,
1787811900,mac,1,195,1787811944,337,
1787812200,mac,1,195,1787812244,352,
1787812500,mac,1,195,1787812484,350,
1787812800,mac,1,195,1787812784,351,
1787813100,mac,1,195,1787813083,402,
1787813400,mac,1,195,1787813383,337,
1787813700,mac,1,195,1787813684,359,
1787814000,mac,1,195,1787813983,361,
1787814300,mac,1,195,1787814284,346,
1787814600,mac,1,195,1787814584,361,
1787814900,mac,1,195,1787814884,352,
1787815200,mac,1,195,1787815184,338,
1787815500,mac,1,195,1787815484,399,
1787815800,mac,1,195,1787815784,378,
1787816100,mac,1,195,1787816084,338,
1787816400,mac,1,195,1787816384,339,
1787816700,mac,1,195,1787816684,340,
1787817000,mac,1,195,1787816984,360,
1787817300,mac,1,195,1787817283,419,
1787817600,mac,1,195,1787817584,357,
1787817900,mac,1,195,1787817944,414,
1787818200,mac,1,195,1787818244,357,
1787818500,mac,1,195,1787818544,351,
1787818800,mac,1,195,1787818843,352,
1787819100,mac,1,195,1787819144,333,
1787819400,mac,1,195,1787819445,346,
1787819700,mac,1,195,1787819744,337,
1787820000,mac,1,195,1787820045,327,
1787820300,mac,1,195,1787820343,356,
1787820600,mac,1,195,1787820643,368,
1787820900,mac,1,195,1787820944,340,
1787821200,mac,1,195,1787821243,361,
1787821500,mac,1,195,1787821544,337,
1787821800,mac,1,195,1787821844,365,
1787822100,mac,1,195,1787822144,362,
1787822400,mac,1,195,1787822444,414,
1787822700,mac,1,195,1787822743,352,
1787823000,mac,1,195,1787823044,339,
1787823300,mac,1,195,1787823344,361,
1787823600,mac,1,195,1787823643,371,
1787823900,mac,1,195,1787823944,350,
1787824200,mac,1,195,1787824244,375,
1787824500,mac,1,195,1787824543,343,
1787824800,mac,1,195,1787824844,351,
1787825100,mac,1,195,1787825144,349,
1787825400,mac,1,195,1787825444,370,
1787825700,mac,1,195,1787825744,349,
1787826000,mac,1,195,1787826044,344,
1787826300,mac,1,195,1787826343,348,
1787826600,mac,1,195,1787826644,343,
1787826900,mac,1,195,1787826945,348,
1787827200,mac,1,195,1787827243,337,
1787827500,mac,1,195,1787827544,352,
1787827800,mac,1,195,1787827845,333,
1787828100,mac,1,195,1787828144,347,
1787828400,mac,1,195,1787828444,361,
1787828700,mac,1,195,1787828744,354,
1787829000,mac,1,195,1787829044,356,
1787829300,mac,1,195,1787829344,338,
1787829600,mac,1,195,1787829645,339,
1787829900,mac,1,195,1787829944,335,
1787830200,mac,1,195,1787830245,357,
1787830500,mac,1,195,1787830544,360,
1787830800,mac,1,195,1787830844,326,
1787831100,mac,1,195,1787831144,361,
1787831400,mac,1,195,1787831444,352,
1787831700,mac,1,195,1787831744,332,
1787832000,mac,1,195,1787832044,340,
